,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL
count,200.0,200.0,200.0,200.0,200.0,200.0,197.0,197.0,197.0,200.0,200.0,200.0,200.0,197.0
mean,2004.5,8.6745,13.541500000000001,21.4025,49.5585,144.4355,575.9857868020305,787.4946700507614,430.57461928934003,279.214,202.6375,73.6395,16.3525,2586.6944162436553
std,11.57236354380339,5.1930374483242945,5.12901175254931,7.3376049212191505,19.161588140085133,49.56984808272791,205.06133726729738,369.33285735907407,146.322451321375,107.79368999162266,68.20290407579328,25.86977611676719,5.880919983237846,437.721885330439
min,1985.0,0.0,0.0,5.4,0.0,27.2,21.6,139.6,80.4,19.8,0.0,4.9,3.3,1508.3
25%,1994.75,4.6,10.075,15.775,37.275,108.775,423.2,562.1,336.8,205.85,159.925,55.224999999999994,12.674999999999999,2249.0
50%,2004.5,8.25,13.649999999999999,21.55,46.8,140.45,600.2,753.0,425.8,275.55,201.89999999999998,74.45,16.1,2588.5
75%,2014.25,12.2,16.85,26.150000000000002,61.425,174.1,715.8,950.2,529.0,342.925,243.7,90.35,19.8,2902.5
max,2024.0,22.7,26.9,41.8,113.1,300.2,1283.2,3253.6,756.6,574.8,412.7,150.2,34.8,3775.8
